time, pm2.5, pm10
2018-05-17 20:56:02.633186,55,57
2018-05-17 20:56:07.761898,58,60
2018-05-17 20:56:12.886739,53,55
2018-05-17 20:56:18.009811,51,53
2018-05-17 20:56:23.135572,52,54
2018-05-17 20:56:28.264325,50,52
2018-05-17 20:56:33.393265,46,48
2018-05-17 20:56:38.522587,43,45
2018-05-17 20:56:43.640216,43,45
2018-05-17 20:56:48.766469,46,48
2018-05-17 20:56:53.894858,49,51
2018-05-17 20:56:59.023738,49,51
2018-05-17 20:57:04.158160,46,48
2018-05-17 20:57:09.286017,46,48
2018-05-17 20:57:14.409974,48,50
2018-05-17 20:57:19.521930,49,51
2018-05-17 20:57:24.670995,48,50
2018-05-17 20:57:29.797651,47,49
2018-05-17 20:57:34.926136,48,50
2018-05-17 20:57:40.055006,48,50
2018-05-17 20:57:45.168011,45,47
2018-05-17 20:57:50.296432,42,44
2018-05-17 20:57:55.426345,44,46
2018-05-17 20:58:00.536826,48,50
2018-05-17 20:58:05.659243,48,50
2018-05-17 20:58:10.786999,47,49
2018-05-17 20:58:15.910345,49,51
2018-05-17 20:58:21.036766,47,49
2018-05-17 20:58:26.159997,47,49
2018-05-17 20:58:31.302003,45,47
2018-05-17 20:58:36.438209,42,44
2018-05-17 20:58:41.557743,43,45
2018-05-17 20:58:46.686480,48,50
2018-05-17 20:58:51.816307,53,55
2018-05-17 20:58:56.924842,50,52
2018-05-17 20:59:02.043749,42,44
2018-05-17 20:59:07.165061,39,41
2018-05-17 20:59:12.297317,43,45
2018-05-17 20:59:17.417157,44,46
2018-05-17 20:59:22.546973,44,46
2018-05-17 20:59:27.667138,46,48
2018-05-17 20:59:32.796731,45,47
2018-05-17 20:59:37.916985,40,42
2018-05-17 20:59:43.047250,36,38
2018-05-17 20:59:48.167528,35,37
2018-05-17 20:59:53.297720,36,38
2018-05-17 20:59:58.427464,39,41
2018-05-17 21:00:03.557949,41,43
2018-05-17 21:00:08.687988,45,47
2018-05-17 21:00:13.818859,47,49
2018-05-17 21:00:18.928758,45,47
2018-05-17 21:00:24.059744,43,45
2018-05-17 21:00:29.190240,42,44
2018-05-17 21:00:34.320592,41,43
2018-05-17 21:00:39.451034,40,42
2018-05-17 21:00:44.606154,40,42
2018-05-17 21:00:49.738993,40,42
2018-05-17 21:00:54.870197,38,40
2018-05-17 21:00:59.991052,37,39
2018-05-17 21:01:05.121534,39,41
